"Country or Area","Year","Value"
"Ireland","2015","6473.48066588394"
"Ireland","2014","6408.75736798786"
"Ireland","2013","6678.70413094062"
"Ireland","2012","6263.86364375103"
"Ireland","2011","6023.92564568895"
"Ireland","2010","6450.54638358829"
"Ireland","2009","6207.51210601479"
"Ireland","2008","6398.96038263611"
"Ireland","2007","6439.25264674322"
"Ireland","2006","6688.42888695815"
"Ireland","2005","6903.3367910844"
"Ireland","2004","7026.93561579339"
"Ireland","2003","7151.37516751027"
"Ireland","2002","7249.31721541249"
"Ireland","2001","7579.38067222656"
"Ireland","2000","8054.81896602362"
"Ireland","1999","8349.13927629963"
"Ireland","1998","8597.79316147675"
"Ireland","1997","8149.49057834714"
"Ireland","1996","8234.93400442534"
"Ireland","1995","8108.87964701897"
"Ireland","1994","7787.75015925372"
"Ireland","1993","7515.75895155562"
"Ireland","1992","7376.28793338369"
"Ireland","1991","7438.79098369401"
"Ireland","1990","7663.43051084386"
"Italy","2020","19471.1281047612"
"Italy","2019","18756.7304857379"
"Italy","2018","18987.3218074936"
"Italy","2017","19059.3336431983"
"Italy","2016","19308.4248694177"
"Italy","2015","18866.6252656871"
"Italy","2014","19004.4863812313"
"Italy","2013","19297.428420433"
"Italy","2012","20123.6724629207"
"Italy","2011","19846.3290976663"
"Italy","2010","20331.052779802"
"Italy","2009","21111.2196967515"
"Italy","2008","22156.521166317"
"Italy","2007","23771.3298326175"
"Italy","2006","24286.6056385318"
"Italy","2005","29280.5638383319"
"Italy","2004","30478.1779123112"
"Italy","2003","29510.5034631565"
"Italy","2002","29843.0639104572"
"Italy","2001","30484.6865280874"
"Italy","2000","30270.0731769642"
"Italy","1999","31454.01681336"
"Italy","1998","30853.0300313568"
"Italy","1997","30577.653955452"
"Italy","1996","29603.3843475417"
"Italy","1995","29433.0352388196"
"Italy","1994","28174.5353618588"
"Italy","1993","28626.9158721131"
"Italy","1992","28074.3161054962"
"Italy","1991","28400.4155941039"
"Italy","1990","27208.9063864252"
"Japan","2020","19986.9367230731"
"Japan","2019","20252.0923108508"
"Japan","2018","20607.0664850964"
"Japan","2017","21062.8728800631"
"Japan","2016","20803.9366669403"
"Japan","2015","21315.0948194642"
"Japan","2014","21612.5840277856"
"Japan","2013","22049.04612731"
"Japan","2012","22088.7007642598"
"Japan","2011","22450.599062821"
"Japan","2010","22841.2459593145"
"Japan","2009","23327.1456480517"
"Japan","2008","23907.8967950757"
"Japan","2007","24800.3801473443"
"Japan","2006","25361.323689516"
"Japan","2005","25488.6006224202"
"Japan","2004","25828.5056490095"
"Japan","2003","25996.2595961948"
"Japan","2002","26134.8705100207"
"Japan","2001","26714.5701365809"
"Japan","2000","30345.8265897802"
"Japan","1999","27809.6028336193"
"Japan","1998","33933.0500415572"
"Japan","1997","35504.3411030901"
"Japan","1996","34703.2166997831"
"Japan","1995","33598.2157273811"
"Japan","1994","33324.1491938828"
"Japan","1993","32077.9889902979"
"Japan","1992","32196.0748634693"
"Japan","1991","32033.3993956602"
"Japan","1990","32358.5508942753"
"Latvia","2020","1473.60589487367"
"Latvia","2019","1442.99529616951"
"Latvia","2018","1359.74801001069"
"Latvia","2017","1413.40529741094"
"Latvia","2016","1402.17683762537"
"Latvia","2015","1403.93121402792"
"Latvia","2014","1355.13285548017"
"Latvia","2013","1314.0022403549"
"Latvia","2012","1288.45273236086"
"Latvia","2011","1221.38740132465"
"Latvia","2010","1220.54249521593"
"Latvia","2009","1190.99987058317"
"Latvia","2008","1166.61761925889"
"Latvia","2007","1189.9127224743"
"Latvia","2006","1139.43934839837"
"Latvia","2005","1138.28181856521"
"Latvia","2004","1100.80589816867"
"Latvia","2003","1115.60935131588"
"Latvia","2002","1068.65420026638"
"Latvia","2001","1104.84899452115"
"Latvia","2000","1026.9916643572"
"Latvia","1999","1012.63379999256"
"Latvia","1998","1075.43975056866"
"Latvia","1997","1121.87852259544"
"Latvia","1996","1118.76018480595"
"Latvia","1995","1117.44347413678"
